Rank ,Puzzles ,AMT (s) ,Solved rate ,1-sigma Mean (s) ,1-sigma STD (s) 
969,2 3 4 7 ,10.9,86.7%,10.84,4.88
970,4 4 8 12 ,10.9,92.1%,11.58,4.98
971,3 3 4 11 ,10.95,88.6%,11.03,5.46
972,1 2 6 10 ,10.96,86.6%,10.9,4.99
973,5 6 6 8 ,10.97,81.3%,10.5,5.82
974,3 3 9 12 ,11.01,87%,11.04,4.9
975,7 7 8 11 ,11.02,80.4%,10.07,4.44
976,1 3 7 10 ,11.04,86.4%,10.98,5.22
977,2 3 4 9 ,11.05,88.3%,11.14,4.71
978,2 3 10 12 ,11.05,86.5%,11.23,4.08
979,5 9 12 12 ,11.07,82.9%,10.77,4.73
980,3 4 6 6 ,11.08,90.4%,11.32,4.63
981,3 5 7 10 ,11.11,84.5%,10.74,5.14
982,5 8 8 8 ,11.13,80.3%,10.51,5.22
983,6 8 8 12 ,11.15,88%,11.42,5.04
984,2 4 5 6 ,11.16,91%,11.64,4.49
985,1 5 12 12 ,11.19,80.9%,10.3,4.95
986,2 6 7 11 ,11.19,82.5%,10.63,5.13
987,5 5 8 13 ,11.2,80.8%,10.65,4.51
988,2 4 6 11 ,11.22,85.1%,11.04,5.42
989,4 10 12 13 ,11.22,81.2%,10.32,5.45
990,2 3 3 10 ,11.23,84.6%,11.31,4.9
991,1 5 6 7 ,11.26,88.9%,11.57,4.65
992,3 4 8 12 ,11.27,87.7%,11.25,5.45
993,4 9 10 13 ,11.31,82.3%,10.76,4.82
994,4 4 9 12 ,11.32,78.4%,10.23,4.74
995,5 8 10 11 ,11.35,87.3%,10.99,4.76
996,2 2 8 9 ,11.37,86.8%,11.49,4.99
997,2 4 9 12 ,11.38,87.1%,11.34,4.79
998,1 2 7 12 ,11.4,77.5%,9.8,5.65
999,2 4 6 8 ,11.41,93.3%,11.83,4.45
1000,3 3 6 12 ,11.41,86.8%,11.57,6.02
1001,2 4 4 6 ,11.42,90.2%,11.76,4.74
1002,4 4 5 11 ,11.43,85%,11.3,4.8
1003,2 3 4 5 ,11.47,84.4%,11.13,5.67
1004,3 3 5 12 ,11.47,86.8%,11.48,5.13
1005,2 5 6 6 ,11.48,78.1%,10.07,5.7
1006,3 4 6 9 ,11.48,82.5%,10.85,5.48
1007,4 8 11 13 ,11.48,82.3%,10.61,5.22
1008,7 8 10 10 ,11.51,79.1%,10.65,4.94
1009,8 9 9 12 ,11.51,82.4%,10.88,4.73
1010,1 3 4 8 ,11.53,89.5%,11.66,4.68
1011,1 4 7 7 ,11.53,85.4%,11.34,4.63
1012,6 7 9 9 ,11.56,80.1%,10.74,5.92
1013,2 3 5 7 ,11.58,89%,11.68,4.96
1014,3 6 7 13 ,11.59,82.5%,10.9,6.14
1015,4 5 6 13 ,11.62,77.9%,10.29,5.17
1016,1 6 7 9 ,11.64,84.4%,11.38,4.72
1017,3 3 5 13 ,11.64,84.8%,11.43,4.75
1018,3 7 8 11 ,11.64,83%,11.26,5.73
1019,4 6 7 12 ,11.66,81.2%,11.25,5.45
1020,3 7 9 12 ,11.69,85.9%,11.67,5.62
1021,1 5 7 9 ,11.71,84.5%,11.22,4.91
1022,6 8 9 12 ,11.71,86.7%,11.72,5.06
1023,1 3 7 7 ,11.73,85.2%,11.51,4.66
1024,1 3 7 12 ,11.73,85.4%,11.07,5.05
1025,4 8 9 13 ,11.73,82.3%,10.92,6.09
1026,2 6 10 13 ,11.74,84.6%,11.36,5.47
1027,3 7 9 11 ,11.74,88.1%,11.85,4.87
1028,3 5 7 9 ,11.75,86.3%,11.49,4.9
1029,4 6 8 13 ,11.76,81%,10.98,5.17
1030,2 7 9 11 ,11.78,83.5%,11.38,5.39
1031,1 4 8 9 ,11.81,89%,11.98,5.09
1032,3 5 10 13 ,11.83,82.4%,11.07,5.39
1033,2 5 8 10 ,11.85,82.8%,11.01,4.8
1034,2 3 7 13 ,11.86,86.2%,11.71,5.32
1035,7 8 9 10 ,11.88,79.7%,11.05,5.31
1036,4 8 8 10 ,11.9,85.5%,11.69,5.53
1037,5 8 10 12 ,11.92,84.1%,11.22,5.11
1038,4 5 5 10 ,11.94,80.9%,11.04,4.48
1039,2 9 11 13 ,11.96,81.9%,11.33,5.42
1040,5 5 8 12 ,11.97,79.4%,11.01,5.07
1041,2 5 11 12 ,12,76.8%,10.4,5.38
1042,1 3 3 6 ,12.02,87.2%,11.94,5.2
1043,3 5 6 10 ,12.07,85.8%,11.77,5.67
1044,3 3 3 11 ,12.09,78%,10.79,5.39
1045,2 5 7 13 ,12.1,83.8%,11.81,5.63
1046,2 3 5 13 ,12.13,85.5%,11.96,5.37
1047,2 5 5 7 ,12.13,81.9%,11.63,4.87
1048,4 6 6 12 ,12.13,85.9%,11.69,5.85
1049,3 4 8 9 ,12.16,87.9%,12.33,5.06
1050,1 5 8 11 ,12.19,89.3%,12.51,5.6
1051,2 5 7 11 ,12.24,82.5%,11.62,5.73
1052,2 4 4 5 ,12.28,82.1%,11.35,5.15
1053,2 3 6 12 ,12.32,91.1%,12.79,5.21
1054,2 4 4 10 ,12.33,89.6%,12.46,5.19
1055,4 10 11 13 ,12.33,75.9%,10.6,5.65
1056,6 9 9 12 ,12.35,86.9%,12.22,5.82
1057,7 10 10 12 ,12.36,78%,11.21,5.24
1058,2 6 6 7 ,12.39,78.3%,10.85,5.63
1059,4 4 6 9 ,12.4,77.2%,10.61,5.66
1060,4 9 10 11 ,12.43,76.5%,10.72,5.81
1061,3 3 3 4 ,12.46,82.2%,11.62,5.97
1062,1 4 5 7 ,12.5,87.9%,12.51,5.29
1063,2 2 2 7 ,12.52,72.6%,9.55,5.66
1064,4 4 6 10 ,12.57,87.5%,12.59,5.31
1065,7 9 10 11 ,12.58,76.8%,10.92,5.39
1066,3 4 9 9 ,12.59,84.1%,12.15,5.04
1067,4 4 7 8 ,12.61,83.8%,12.37,5.6
1068,3 3 6 8 ,12.62,74.6%,10.48,5.65
1069,6 9 10 12 ,12.66,80%,11.52,6.07
1070,3 5 11 12 ,12.71,79.9%,11.47,5.79
1071,7 7 9 10 ,12.72,75.6%,11.28,5.24
1072,4 6 9 13 ,12.76,85.3%,12.73,5.28
1073,1 5 8 13 ,12.77,80%,11.57,5.81
1074,2 4 5 7 ,12.77,78.3%,11.38,5.65
1075,3 5 6 11 ,12.78,82.4%,12.1,6.65
1076,1 4 7 9 ,12.79,82.1%,11.98,5.09
1077,2 4 8 13 ,12.81,82.2%,12.15,5.93
1078,3 3 9 13 ,12.84,74.2%,10.67,5.96
1079,4 8 12 12 ,12.84,85.4%,12.21,5.85
1080,4 7 10 12 ,12.87,79.7%,11.47,5.59
1081,5 6 10 12 ,12.88,75.8%,11.03,5.52
1082,3 3 5 10 ,12.9,82.8%,12.1,5.34
1083,4 5 8 13 ,12.9,78%,11.44,5.95
1084,4 4 6 8 ,12.96,84.2%,12.34,6.67
1085,5 7 7 9 ,12.96,74.1%,11.14,5.12
1086,5 7 11 13 ,12.97,70.8%,10.08,5.2
1087,2 5 10 13 ,12.98,81.9%,12.41,5.89
1088,2 3 3 3 ,13.01,82.1%,11.96,6.01
1089,1 4 5 9 ,13.04,82%,12.13,6.72
1090,6 9 11 13 ,13.05,72.6%,10.45,6.1
1091,1 4 6 6 ,13.09,80.2%,11.92,6.48
1092,2 3 8 8 ,13.09,80.3%,11.93,5.73
1093,3 5 6 13 ,13.14,76%,11.34,5.55
1094,4 4 5 12 ,13.22,78.8%,11.65,6.03
1095,5 5 7 10 ,13.25,73.8%,11.44,5.02
1096,1 5 6 11 ,13.26,80.7%,12.06,6.52
1097,5 9 10 13 ,13.29,77.9%,11.6,5.87
1098,2 3 5 10 ,13.3,80.2%,12.08,5.35
1099,1 4 5 8 ,13.33,82.4%,12.57,5.72
1100,1 1 6 9 ,13.38,80.5%,11.54,6.49
1101,3 5 7 8 ,13.39,85.2%,12.99,5.94
1102,2 7 10 11 ,13.41,78.6%,12.24,6.02
1103,5 7 10 10 ,13.41,76.5%,12.16,5.36
1104,6 9 11 12 ,13.41,75.4%,11.13,6.02
1105,2 2 2 9 ,13.48,76.1%,11.09,6.42
1106,2 8 10 13 ,13.48,80.8%,12.69,6.09
1107,6 8 11 12 ,13.48,77.9%,12.29,5.77
1108,4 10 10 12 ,13.52,78.1%,12.24,6.35
1109,1 3 6 10 ,13.53,82.3%,12.21,6.96
1110,7 10 11 13 ,13.57,73.4%,11.18,5.85
1111,6 7 7 10 ,13.58,72.6%,10.92,5.35
1112,4 5 8 10 ,13.68,75.9%,11.43,5.93
1113,3 8 9 11 ,13.8,79.8%,12.72,6.82
1114,2 10 12 13 ,13.85,81.4%,13.13,6.05
1115,6 12 12 12 ,13.9,76.5%,11.76,6.74
1116,2 3 7 8 ,13.93,80.2%,12.79,5.6
1117,6 7 10 10 ,13.98,70.6%,10.59,5.8
1118,3 5 9 9 ,14.04,79.2%,12.95,6.13
1119,2 3 8 9 ,14.1,81.1%,12.94,6.24
1120,2 2 5 9 ,14.14,74.1%,11.76,6.27
1121,2 4 7 9 ,14.16,80.3%,13.28,6.4
1122,5 7 9 11 ,14.2,71.3%,11.1,5.89
1123,1 3 7 9 ,14.22,80.3%,12.75,5.48
1124,3 3 9 11 ,14.26,79%,13.15,5.71
1125,3 5 5 11 ,14.31,79.2%,13.24,5.57
1126,2 4 9 10 ,14.32,79.2%,13.07,6.03
1127,3 3 8 10 ,14.42,80.7%,13.74,5.76
1128,3 4 4 10 ,14.47,77.1%,12.21,6.7
1129,3 5 12 12 ,14.52,67.2%,9.8,5.94
1130,3 4 4 11 ,14.53,76.2%,12.68,6.42
1131,1 3 5 6 ,14.56,86.2%,14.26,5.95
1132,2 6 12 13 ,14.57,78.4%,13.43,5.85
1133,2 6 9 12 ,14.6,82.7%,13.72,6.54
1134,2 5 9 10 ,14.68,78.2%,13.16,6.23
1135,3 3 4 13 ,14.69,76.4%,12.35,6.78
1136,4 6 9 12 ,14.69,77.6%,12.71,7.02
1137,4 5 8 11 ,14.7,73.3%,11.86,6.7
1138,5 5 9 11 ,14.7,71.2%,12.32,5.19
1139,4 4 5 13 ,14.73,73.1%,12.06,7.15
1140,3 4 7 12 ,14.77,82.4%,14.19,6.22
1141,6 10 10 13 ,14.8,69%,10.94,6.04
1142,5 6 6 12 ,14.88,80.6%,13.6,6.09
1143,4 4 4 10 ,14.89,76.9%,12.81,6.49
1144,5 9 9 12 ,14.89,75.7%,13.1,6.73
1145,3 4 10 10 ,14.93,75.3%,12.93,6.05
1146,3 6 11 13 ,14.95,72.8%,11.48,6.82
1147,2 2 5 10 ,14.97,78.7%,13.53,5.82
1148,2 2 3 4 ,14.98,77.2%,13.14,6.06
1149,2 5 9 11 ,15.01,76.2%,13.17,6.89
1150,2 2 7 7 ,15.06,69.8%,11.35,6.01
1151,3 6 8 13 ,15.09,81.3%,14.41,6.25
1152,4 7 8 12 ,15.1,79.4%,13.95,6.73
1153,3 3 9 10 ,15.12,77.9%,13.63,6.12
1154,1 5 11 12 ,15.2,71%,11.47,6.2
1155,5 7 8 10 ,15.21,70.8%,12.25,5.7
1156,3 6 8 12 ,15.25,80.4%,13.93,6.22
1157,2 4 10 11 ,15.31,79.2%,14.15,6.58
1158,3 6 6 13 ,15.36,72.4%,12.17,6.46
1159,1 4 4 6 ,15.39,79.5%,13.59,6.79
1160,7 9 12 12 ,15.47,64.1%,9.44,5.53
1161,5 5 5 12 ,15.48,67.4%,10.26,6.36
1162,2 5 8 8 ,15.5,71.2%,11.82,6.69
1163,4 6 8 10 ,15.52,76.2%,12.85,7.69
1164,2 6 11 12 ,15.61,77.5%,14.05,6.41
1165,1 5 5 10 ,15.72,70.9%,11.79,7.04
1166,2 3 8 10 ,15.8,82.2%,15.11,6.62
1167,2 5 5 9 ,15.81,78.6%,14.48,6.04
1168,4 5 7 13 ,15.82,72.6%,12.54,6.3
1169,3 3 8 13 ,15.87,69.7%,11.44,6.26
1170,5 7 12 12 ,15.9,65.8%,10.54,6.31
1171,7 7 7 12 ,15.92,64.9%,9.07,6.1
1172,1 3 12 13 ,16.06,75.7%,13.71,6.87
1173,2 3 6 7 ,16.07,80.8%,15.05,6.63
1174,1 3 8 10 ,16.15,70.8%,12.4,6.53
1175,4 7 8 11 ,16.36,68.6%,10.96,6.74
1176,5 6 9 13 ,16.42,68.8%,12.54,6.14
1177,3 10 11 13 ,16.51,71.2%,13.38,6.32
1178,2 2 6 7 ,16.54,72.4%,13.14,6.91
1179,6 10 11 12 ,16.57,69.6%,13.11,6.3
1180,2 6 10 11 ,16.61,73.2%,13.73,7.01
1181,5 5 6 8 ,16.63,78.3%,15.01,6.63
1182,2 6 6 9 ,16.65,72.7%,13.14,6.59
1183,4 9 9 12 ,16.7,71.5%,13.54,6.61
1184,6 8 9 10 ,16.78,71%,12.91,7.24
1185,3 9 9 13 ,16.92,67.3%,12.23,6.16
1186,1 3 11 12 ,16.97,75.8%,14.59,7.58
1187,1 4 10 12 ,17.01,72%,12.98,6.69
1188,2 3 7 10 ,17.06,76.8%,15.01,6.81
1189,2 4 4 9 ,17.07,73.4%,13.67,7.52
1190,6 6 9 10 ,17.14,69.9%,13.41,6.87
1191,2 7 10 10 ,17.17,67.9%,13.45,5.86
1192,2 3 7 7 ,17.21,76.5%,15.33,6.66
1193,2 2 9 12 ,17.35,72.8%,15,6.43
1194,6 6 6 10 ,17.37,66.1%,11.64,6.62
1195,8 8 8 11 ,17.41,63.1%,10.36,6.09
1196,5 7 7 10 ,17.43,67.7%,13.25,6.52
1197,10 12 12 12 ,17.48,64.1%,10.41,5.87
1198,3 5 8 9 ,17.65,75.6%,15.75,7.57
1199,3 6 8 10 ,17.74,66.5%,12.13,6.92
1200,3 5 7 12 ,17.79,70.8%,14.15,7.74
1201,2 8 10 12 ,17.93,79.7%,16.57,7.57
1202,3 9 9 11 ,17.93,70.3%,13.83,7.61
1203,3 8 9 13 ,17.98,73.4%,15.41,7.17
1204,9 9 9 12 ,18.29,63.2%,9.85,6.73
1205,2 6 7 10 ,18.34,69.6%,13.09,7.31
1206,2 6 8 9 ,18.53,72.4%,15.61,6.65
1207,3 4 8 13 ,18.58,69.8%,13.92,7.88
1208,4 5 6 9 ,18.61,75.2%,16.62,7.11
1209,3 5 12 13 ,18.68,67.9%,14.53,6.58
1210,8 10 12 13 ,18.68,67.2%,14.48,6.41
1211,2 6 9 10 ,18.69,69.4%,14.89,6.89
1212,2 4 7 8 ,19.06,76.4%,16.87,7.22
1213,4 8 9 12 ,19.09,72.4%,16.35,6.82
1214,2 3 10 10 ,19.37,69.2%,14.6,7.58
1215,2 2 9 10 ,19.47,65%,14.37,7.35
1216,3 5 9 10 ,19.56,67.9%,14.59,7.73
1217,2 7 10 12 ,19.61,70.1%,16,7.1
1218,2 2 4 4 ,19.66,71.6%,15.14,8.22
1219,6 8 8 9 ,19.71,63%,11.73,7.19
1220,2 2 4 12 ,19.75,75.1%,15.51,9.35
1221,1 3 3 8 ,19.89,73.6%,15.9,7.98
1222,8 10 12 12 ,19.9,63.3%,11.69,7.44
1223,2 3 11 11 ,19.99,67.9%,15.03,7.73
1224,7 8 8 10 ,20.24,61.1%,12.2,7.77
1225,2 3 9 12 ,20.29,66.9%,13.2,7.64
1226,1 5 7 10 ,20.41,69.4%,16.27,7.63
1227,6 8 10 11 ,20.51,64%,13.72,7.28
1228,1 3 8 11 ,20.65,73.3%,16.91,8.24
1229,5 9 12 13 ,20.7,64.3%,15.81,7.12
1230,3 5 10 11 ,20.79,69.3%,16.08,8.41
1231,3 6 9 13 ,21.05,69.1%,17.18,7.58
1232,4 4 8 9 ,21.27,69.5%,16.83,8.31
1233,10 10 10 12 ,21.27,60.7%,10.55,7.1
1234,2 3 3 5 ,21.29,69.4%,15.84,8.56
1235,2 7 12 12 ,21.29,62.6%,12.45,7.55
1236,1 2 8 10 ,21.3,67.4%,15.26,7.91
1237,9 11 12 12 ,21.36,59.2%,10.85,6.55
1238,3 3 7 8 ,21.42,68.4%,16.98,8.18
1239,1 6 10 12 ,21.44,65.8%,14.19,8.02
1240,3 5 7 11 ,21.47,64.1%,14.52,7.83
1241,2 3 5 8 ,21.49,72.7%,18.01,7.76
1242,4 5 7 10 ,22.08,63.2%,14.56,8
1243,5 7 10 13 ,22.49,61.7%,16.51,7.36
1244,2 9 10 10 ,22.72,60.8%,16.73,7.44
1245,2 4 5 10 ,23.07,67%,17.43,8.13
1246,2 3 6 8 ,23.15,75.1%,20.26,8.92
1247,5 9 11 13 ,23.49,61.3%,16.71,7.8
1248,3 4 5 13 ,23.83,65.3%,17.93,8.56
1249,1 5 9 12 ,24.09,62.4%,14.21,8.83
1250,5 7 9 10 ,24.48,60.8%,15.57,8.57
1251,4 10 11 12 ,24.66,62.9%,17.55,8.88
1252,2 4 5 5 ,24.88,60.3%,15.36,8.53
1253,6 6 7 11 ,24.95,57.9%,13.18,8.13
1254,2 2 5 8 ,25.14,63.5%,16.84,9.28
1255,2 5 10 12 ,25.15,63.6%,18.1,8.74
1256,3 4 4 4 ,25.18,67.2%,18.07,9.91
1257,5 6 6 9 ,25.33,59.1%,14.28,8.87
1258,8 8 9 12 ,25.57,56.4%,12.85,7.68
1259,3 4 7 8 ,25.6,60.5%,14.46,8.32
1260,4 9 10 12 ,25.61,61.6%,17.18,9.19
1261,2 2 6 11 ,25.63,62.1%,18.55,8.65
1262,8 9 11 11 ,25.65,57.9%,15.88,8.42
1263,3 5 10 10 ,25.86,53.9%,12.56,6.73
1264,3 9 11 13 ,26.36,57.7%,14.06,8.49
1265,4 7 8 10 ,26.63,62.3%,18.81,9.21
1266,5 6 7 9 ,26.63,59.6%,16.2,9.16
1267,2 6 9 9 ,27.11,57.7%,14.56,8.29
1268,2 3 13 13 ,27.23,58.1%,17.73,9.67
1269,1 7 12 13 ,27.84,56.2%,15.29,9.32
1270,1 4 9 13 ,28.04,60.8%,18.96,10.1
1271,4 10 10 11 ,28.17,54.6%,19.45,9.09
1272,3 4 5 11 ,28.39,63%,20.63,9.94
1273,3 3 6 6 ,28.93,57.7%,14.37,8.52
1274,4 5 9 12 ,29.37,60.5%,22.32,10.22
1275,6 6 9 13 ,29.47,54%,13.43,8.55
1276,2 3 7 9 ,30.68,57.6%,18.26,10.11
1277,4 4 7 13 ,31.22,53.6%,15.08,9.43
1278,2 5 12 13 ,31.41,58%,22.35,10.01
1279,2 2 7 10 ,31.47,53.1%,16.37,8.73
1280,1 4 6 10 ,32.59,55.6%,19.09,9.56
1281,3 6 7 10 ,32.86,57.3%,21.93,10.37
1282,2 5 8 12 ,33.06,54.4%,17.99,9.85
1283,1 2 7 7 ,33.19,54.6%,17.43,10.38
1284,3 8 10 12 ,34.78,53.5%,20.72,10.55
1285,2 5 7 9 ,35.23,52.6%,23.51,10.3
1286,2 2 3 10 ,35.49,54.6%,18.3,10.34
1287,6 7 11 11 ,35.77,46%,19.88,10.21
1288,2 4 7 7 ,35.82,50.7%,17.36,9.73
1289,2 2 6 9 ,36.54,52%,18.14,10.18
1290,7 9 11 12 ,36.93,49.8%,17.58,10.51
1291,4 7 9 11 ,37.32,51.2%,22.75,11.18
1292,2 2 3 5 ,39.11,51.3%,15.48,8.87
1293,5 5 8 11 ,39.33,45.9%,24.39,11.03
1294,3 6 6 10 ,39.78,49.9%,18.51,10.67
1295,5 10 10 11 ,41.33,41.7%,15,7.05
1296,1 5 11 11 ,42.43,43.2%,16.25,9.96
1297,7 8 9 12 ,42.82,48.2%,16.23,10.25
1298,1 2 9 11 ,46.18,44.4%,22.36,12.2
1299,1 7 13 13 ,47.38,41.6%,14.33,8.71
1300,4 9 11 11 ,47.38,43.1%,25.45,14.03
1301,1 5 5 5 ,47.4,43.3%,12.1,7.44
1302,5 9 10 11 ,47.59,42.6%,28.32,13.48
1303,6 7 7 11 ,48.69,42.4%,27.71,14.49
1304,5 10 10 13 ,49.33,38.6%,17.14,7.91
1305,3 3 7 7 ,50.27,40.7%,12.8,7.56
1306,3 5 8 13 ,51.19,41.9%,30.54,14.07
1307,8 9 10 12 ,51.24,42.4%,22.21,14
1308,2 5 6 9 ,53.78,43.9%,27.55,13.67
1309,1 6 11 13 ,54.48,38.2%,18.69,10.07
1310,4 6 6 10 ,56.73,40.3%,23.14,12.69
1311,1 3 9 10 ,57.28,40.7%,23.18,12.25
1312,2 2 11 11 ,58.02,39.9%,13.56,8.94
1313,4 4 7 7 ,58.56,38.6%,14.79,8.27
1314,5 7 9 12 ,58.94,39.4%,17.81,11.4
1315,4 5 6 12 ,59.29,43.9%,21.93,16.08
1316,4 6 7 9 ,59.86,41.7%,19.61,12.29
1317,4 4 10 10 ,61.29,39.7%,13.46,9.04
1318,4 7 11 13 ,62.39,36.8%,31.22,16.62
1319,6 12 12 13 ,62.7,37.7%,15.52,8.66
1320,3 5 8 12 ,63.22,37.7%,28.03,13.5
1321,4 5 6 11 ,63.28,37.5%,19.6,10.95
1322,6 7 8 12 ,63.64,40.5%,17.17,12.46
1323,3 4 6 13 ,63.91,39.9%,20.51,11.81
1324,2 4 11 12 ,65.19,38.9%,23.72,13.36
1325,6 11 12 12 ,65.93,35.9%,15.64,9.19
1326,5 8 9 13 ,66.05,34.7%,34.44,16.26
1327,5 7 10 11 ,66.48,35.6%,24.28,13.5
1328,2 2 13 13 ,66.8,37%,14.2,8.38
1329,7 10 12 13 ,68.27,37.5%,22.57,12.92
1330,5 6 8 13 ,69.83,36%,22.69,11.47
1331,2 7 8 9 ,70.81,39.3%,18.62,11.25
1332,2 2 6 13 ,72.42,33%,30.9,16.39
1333,1 4 7 11 ,74.91,35.3%,29.87,16.43
1334,5 6 9 11 ,75.21,33.2%,26.37,15.18
1335,6 9 9 10 ,81.28,31.3%,32.74,18.48
1336,2 5 7 8 ,84.73,32.8%,28.54,15.76
1337,7 8 8 13 ,84.82,29.4%,27.17,15.02
1338,4 8 8 13 ,89.32,29%,24.81,14.52
1339,3 3 7 13 ,90.79,27.1%,32.73,18.52
1340,3 8 8 10 ,91.17,28.8%,25.37,16.08
1341,2 7 7 10 ,91.35,26.8%,27.12,13
1342,4 8 8 11 ,92.89,29.7%,23.32,13.95
1343,5 7 7 11 ,94.78,26.8%,25.81,13.03
1344,5 5 7 11 ,95.73,25.8%,26.04,13.42
1345,2 2 10 11 ,96.73,30.3%,26.19,17.05
1346,7 8 10 11 ,97.01,29.5%,23.95,14.01
1347,2 3 8 13 ,97.6,31.5%,23.94,12.96
1348,9 11 12 13 ,99.42,28%,22.07,13.21
1349,1 6 6 8 ,106.03,29.1%,21.84,13.36
1350,1 8 12 12 ,106.72,28.6%,20.3,13.18
1351,3 3 5 7 ,108.58,28.9%,28.71,18.15
1352,3 7 9 13 ,111.15,26%,40.06,21.94
1353,2 9 13 13 ,111.62,24.6%,30.92,19.52
1354,2 4 7 12 ,112.59,27.9%,29.58,17.02
1355,2 4 10 10 ,113.28,25.4%,29.06,18.93
1356,3 6 6 11 ,114.68,26.7%,24.91,15.46
1357,3 3 8 8 ,114.83,30.2%,15.61,10.57
1358,3 5 7 13 ,128.53,23.4%,38.91,21.36
1359,2 5 5 10 ,191.07,21.6%,24.04,16.42
1360,1 4 5 6 ,198.5,28.4%,18.44,11.95
1361,1 3 4 6 ,205.13,26.6%,19.86,12.27
1362,2 3 5 12 ,211.16,20.3%,29.8,22.14
